date,region,accumulated_num_cases,accumulated_num_deaths,new_num_cases,new_num_deaths
2020-02-25,Sul,0,0,0,0
2020-02-26,Sul,0,0,0,0
2020-02-27,Sul,0,0,0,0
2020-02-28,Sul,0,0,0,0
2020-02-29,Sul,0,0,0,0
2020-03-01,Sul,0,0,0,0
2020-03-02,Sul,0,0,0,0
2020-03-03,Sul,0,0,0,0
2020-03-04,Sul,0,0,0,0
2020-03-05,Sul,0,0,0,0
2020-03-06,Sul,0,0,0,0
2020-03-07,Sul,0,0,0,0
2020-03-08,Sul,0,0,0,0
2020-03-09,Sul,0,0,0,0
2020-03-10,Sul,1,0,1,0
2020-03-11,Sul,2,0,1,0
2020-03-12,Sul,12,0,10,0
2020-03-13,Sul,13,0,1,0
2020-03-14,Sul,15,0,2,0
2020-03-15,Sul,16,0,1,0
2020-03-16,Sul,21,0,5,0
2020-03-17,Sul,27,0,6,0
2020-03-18,Sul,47,0,20,0
2020-03-19,Sul,75,0,28,0
2020-03-20,Sul,119,0,44,0
2020-03-21,Sul,169,0,50,0
2020-03-22,Sul,199,0,30,0
2020-03-23,Sul,242,0,43,0
2020-03-24,Sul,291,0,49,0
2020-03-25,Sul,381,1,90,1
2020-03-26,Sul,445,2,64,1
2020-03-27,Sul,485,5,40,3
2020-03-28,Sul,521,5,36,0
2020-03-29,Sul,579,5,58,0
2020-03-30,Sul,633,9,54,4
2020-03-31,Sul,725,9,92,0
2020-04-01,Sul,792,10,67,1
2020-04-02,Sul,925,14,133,4
2020-04-03,Sul,1018,16,93,2
2020-04-04,Sul,1175,24,157,8
2020-04-05,Sul,1292,27,117,3
2020-04-06,Sul,1384,33,92,6
2020-04-07,Sul,1523,38,139,5
2020-04-08,Sul,1632,44,109,6
2020-04-09,Sul,1950,56,318,12
2020-04-10,Sul,2012,59,62,3
2020-04-11,Sul,2073,64,61,5
2020-04-12,Sul,2190,71,117,7
2020-04-13,Sul,2279,76,89,5
2020-04-14,Sul,2376,85,97,9
2020-04-15,Sul,2462,89,86,4
2020-04-16,Sul,2563,94,101,5
2020-04-17,Sul,2680,99,117,5
2020-04-18,Sul,2789,105,109,6
2020-04-19,Sul,2896,113,107,8
2020-04-20,Sul,2989,115,93,2
2020-04-21,Sul,3048,119,59,4
2020-04-22,Sul,3162,127,114,8
2020-04-23,Sul,3305,133,143,6
2020-04-24,Sul,3438,143,133,10
2020-04-25,Sul,3556,148,118,5
2020-04-26,Sul,3716,156,160,8
2020-04-27,Sul,3933,166,217,10
2020-04-28,Sul,4631,172,698,6
2020-04-29,Sul,4869,181,238,9
2020-04-30,Sul,5346,194,477,13
2020-05-01,Sul,5187,204,-159,10
2020-05-02,Sul,5522,210,335,6
